x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
-0.1587,9.9987,12.5253,0.0000,0.0000,7.8698,-1.2692,-0.0201,0.2020,0.0000,0.0000,0.0000
-1.4231,9.8982,12.7273,0.0000,0.0000,7.9968,-1.2564,-0.1806,0.2020,0.0000,0.0000,0.0000
-2.6647,9.6384,12.9293,0.0000,0.0000,8.1237,-1.2234,-0.3382,0.2020,0.0000,0.0000,0.0000
-3.8635,9.2235,13.1313,0.0000,0.0000,8.2506,-1.1708,-0.4904,0.2020,0.0000,0.0000,0.0000
-5.0000,8.6603,13.3333,0.0000,0.0000,8.3776,-1.0993,-0.6347,0.2020,0.0000,0.0000,0.0000
-6.0561,7.9576,13.5354,0.0000,0.0000,8.5045,-1.0101,-0.7687,0.2020,0.0000,0.0000,0.0000
-7.0147,7.1269,13.7374,0.0000,0.0000,8.6314,-0.9046,-0.8904,0.2020,0.0000,0.0000,0.0000
-7.8605,6.1816,13.9394,0.0000,0.0000,8.7584,-0.7846,-0.9978,0.2020,0.0000,0.0000,0.0000
-8.5798,5.1368,14.1414,0.0000,0.0000,8.8853,-0.6520,-1.0891,0.2020,0.0000,0.0000,0.0000
-9.1611,4.0093,14.3434,0.0000,0.0000,9.0122,-0.5089,-1.1628,0.2020,0.0000,0.0000,0.0000
-9.5949,2.8173,14.5455,0.0000,0.0000,9.1392,-0.3576,-1.2179,0.2020,0.0000,0.0000,0.0000
-9.8744,1.5800,14.7475,0.0000,0.0000,9.2661,-0.2006,-1.2534,0.2020,0.0000,0.0000,0.0000
-9.9950,0.3173,14.9495,0.0000,0.0000,9.3930,-0.0403,-1.2687,0.2020,0.0000,0.0000,0.0000
-9.9547,-0.9506,15.1515,0.0000,0.0000,9.5200,0.1207,-1.2636,0.2020,0.0000,0.0000,0.0000
-9.7543,-2.2031,15.3535,0.0000,0.0000,9.6469,0.2796,-1.2381,0.2020,0.0000,0.0000,0.0000
-9.3969,-3.4202,15.5556,0.0000,0.0000,9.7738,0.4341,-1.1928,0.2020,0.0000,0.0000,0.0000
-8.8884,-4.5823,15.7576,0.0000,0.0000,9.9008,0.5816,-1.1282,0.2020,0.0000,0.0000,0.0000
-8.2368,-5.6706,15.9596,0.0000,0.0000,10.0277,0.7198,-1.0455,0.2020,0.0000,0.0000,0.0000
-7.4526,-6.6677,16.1616,0.0000,0.0000,10.1546,0.8464,-0.9460,0.2020,0.0000,0.0000,0.0000
-6.5486,-7.5575,16.3636,0.0000,0.0000,10.2816,0.9593,-0.8312,0.2020,0.0000,0.0000,0.0000
-5.5392,-8.3257,16.5657,0.0000,0.0000,10.4085,1.0568,-0.7031,0.2020,0.0000,0.0000,0.0000
-4.4407,-8.9599,16.7677,0.0000,0.0000,10.5354,1.1373,-0.5637,0.2020,0.0000,0.0000,0.0000
-3.2707,-9.4500,16.9697,0.0000,0.0000,10.6624,1.1995,-0.4152,0.2020,0.0000,0.0000,0.0000
-2.0481,-9.7880,17.1717,0.0000,0.0000,10.7893,1.2424,-0.2600,0.2020,0.0000,0.0000,0.0000
-0.7925,-9.9685,17.3737,0.0000,0.0000,10.9162,1.2653,-0.1006,0.2020,0.0000,0.0000,0.0000
0.4758,-9.9887,17.5758,0.0000,0.0000,11.0432,1.2679,0.0604,0.2020,0.0000,0.0000,0.0000
1.7365,-9.8481,17.7778,0.0000,0.0000,11.1701,1.2500,0.2204,0.2020,0.0000,0.0000,0.0000
2.9692,-9.5490,17.9798,0.0000,0.0000,11.2970,1.2121,0.3769,0.2020,0.0000,0.0000,0.0000
4.1542,-9.0963,18.1818,0.0000,0.0000,11.4240,1.1546,0.5273,0.2020,0.0000,0.0000,0.0000
5.2723,-8.4973,18.3838,0.0000,0.0000,11.5509,1.0786,0.6692,0.2020,0.0000,0.0000,0.0000
6.3055,-7.7615,18.5859,0.0000,0.0000,11.6778,0.9852,0.8004,0.2020,0.0000,0.0000,0.0000
7.2373,-6.9008,18.7879,0.0000,0.0000,11.8048,0.8759,0.9187,0.2020,0.0000,0.0000,0.0000
8.0527,-5.9291,18.9899,0.0000,0.0000,11.9317,0.7526,1.0222,0.2020,0.0000,0.0000,0.0000
8.7385,-4.8620,19.1919,0.0000,0.0000,12.0586,0.6171,1.1092,0.2020,0.0000,0.0000,0.0000
9.2837,-3.7166,19.3939,0.0000,0.0000,12.1856,0.4718,1.1784,0.2020,0.0000,0.0000,0.0000
9.6795,-2.5115,19.5960,0.0000,0.0000,12.3125,0.3188,1.2286,0.2020,0.0000,0.0000,0.0000
9.9195,-1.2659,19.7980,0.0000,0.0000,12.4394,0.1607,1.2591,0.2020,0.0000,0.0000,0.0000
10.0000,-0.0000,20.0000,0.0000,0.0000,12.5664,0.0000,1.2693,0.2020,0.0000,0.0000,0.0000
